,audit_name,original_incidence_ratio,modified_incidence_ratio,initial_count,modified_count,total_websites,category,percentage_change
35,uses-optimized-images,0.06666666666666667,0.0,1,0,15,resource optimization,-100.0
13,render-blocking-resources,0.5333333333333333,0.06666666666666667,8,1,15,initial load performance,-87.5
24,uses-rel-preconnect,0.26666666666666666,0.06666666666666667,4,1,15,network optimization,-75.0
28,unminified-css,0.2,0.06666666666666667,3,1,15,resource optimization,-66.66666666666667
16,mainthread-work-breakdown,0.4666666666666667,0.2,7,3,15,runtime performance,-57.14285714285714
29,uses-http2,0.13333333333333333,0.06666666666666667,2,1,15,network optimization,-50.0
20,total-byte-weight,0.4,0.2,6,3,15,network optimization,-50.0
18,dom-size,0.4666666666666667,0.26666666666666666,7,4,15,visual stability,-42.85714285714286
15,bf-cache,0.4666666666666667,0.26666666666666666,7,4,15,,-42.85714285714286
21,uses-passive-event-listeners,0.3333333333333333,0.2,5,3,15,interactivity performance,-39.99999999999999
22,bootup-time,0.3333333333333333,0.2,5,3,15,runtime performance,-39.99999999999999
6,largest-contentful-paint-element,0.9333333333333333,0.6,14,9,15,initial load performance,-35.714285714285715
27,unminified-javascript,0.2,0.13333333333333333,3,2,15,resource optimization,-33.333333333333336
19,unsized-images,0.4,0.26666666666666666,6,4,15,visual stability,-33.333333333333336
11,third-party-summary,0.6,0.4,9,6,15,runtime performance,-33.33333333333333
14,modern-image-formats,0.4666666666666667,0.3333333333333333,7,5,15,resource optimization,-28.571428571428577
4,speed-index,0.9333333333333333,0.6666666666666666,14,10,15,initial load performance,-28.571428571428577
17,uses-responsive-images,0.4666666666666667,0.3333333333333333,7,5,15,resource optimization,-28.571428571428577
8,legacy-javascript,0.8,0.6,12,9,15,resource optimization,-25.000000000000007
0,first-contentful-paint,1.0,0.8,15,12,15,initial load performance,-19.999999999999996
1,largest-contentful-paint,1.0,0.8,15,12,15,initial load performance,-19.999999999999996
2,unused-javascript,1.0,0.8,15,12,15,resource optimization,-19.999999999999996
9,total-blocking-time,0.8,0.6666666666666666,12,10,15,interactivity performance,-16.66666666666668
7,max-potential-fid,0.8666666666666667,0.7333333333333333,13,11,15,interactivity performance,-15.384615384615394
3,uses-text-compression,0.9333333333333333,0.8,14,12,15,network optimization,-14.285714285714283
5,interactive,0.9333333333333333,0.8,14,12,15,interactivity performance,-14.285714285714283
12,uses-long-cache-ttl,0.6,0.5333333333333333,9,8,15,network optimization,-11.111111111111109
10,unused-css-rules,0.7333333333333333,0.6666666666666666,11,10,15,resource optimization,-9.09090909090909
36,duplicated-javascript,0.06666666666666667,0.06666666666666667,1,1,15,resource optimization,0.0
30,no-document-write,0.13333333333333333,0.13333333333333333,2,2,15,runtime performance,0.0
31,lcp-lazy-loaded,0.13333333333333333,0.13333333333333333,2,2,15,initial load performance,0.0
33,font-display,0.13333333333333333,0.13333333333333333,2,2,15,visual stability,0.0
34,prioritize-lcp-image,0.06666666666666667,0.06666666666666667,1,1,15,initial load performance,0.0
26,offscreen-images,0.26666666666666666,0.26666666666666666,4,4,15,initial load performance,0.0
37,redirects,0.06666666666666667,0.06666666666666667,1,1,15,network optimization,0.0
25,viewport,0.26666666666666666,0.3333333333333333,4,5,15,visual stability,24.999999999999993
23,cumulative-layout-shift,0.3333333333333333,0.6,5,9,15,visual stability,80.0
32,layout-shifts,0.13333333333333333,0.4,2,6,15,visual stability,200.00000000000006
