,audit_name,original_incidence_ratio,modified_incidence_ratio,initial_count,modified_count,total_websites,category,percentage_change
18,dom-size,0.4666666666666667,0.0,7,0,15,visual stability,-100.0
26,offscreen-images,0.26666666666666666,0.0,4,0,15,initial load performance,-100.0
30,no-document-write,0.13333333333333333,0.0,2,0,15,runtime performance,-100.0
24,uses-rel-preconnect,0.26666666666666666,0.0,4,0,15,network optimization,-100.0
20,total-byte-weight,0.4,0.0,6,0,15,network optimization,-100.0
31,lcp-lazy-loaded,0.13333333333333333,0.0,2,0,15,initial load performance,-100.0
29,uses-http2,0.13333333333333333,0.0,2,0,15,network optimization,-100.0
28,unminified-css,0.2,0.0,3,0,15,resource optimization,-100.0
35,uses-optimized-images,0.06666666666666667,0.0,1,0,15,resource optimization,-100.0
34,prioritize-lcp-image,0.06666666666666667,0.0,1,0,15,initial load performance,-100.0
11,third-party-summary,0.6,0.06666666666666667,9,1,15,runtime performance,-88.8888888888889
16,mainthread-work-breakdown,0.4666666666666667,0.06666666666666667,7,1,15,runtime performance,-85.71428571428572
22,bootup-time,0.3333333333333333,0.06666666666666667,5,1,15,runtime performance,-80.0
21,uses-passive-event-listeners,0.3333333333333333,0.06666666666666667,5,1,15,interactivity performance,-80.0
9,total-blocking-time,0.8,0.2,12,3,15,interactivity performance,-75.00000000000001
15,bf-cache,0.4666666666666667,0.13333333333333333,7,2,15,,-71.42857142857143
17,uses-responsive-images,0.4666666666666667,0.13333333333333333,7,2,15,resource optimization,-71.42857142857143
7,max-potential-fid,0.8666666666666667,0.26666666666666666,13,4,15,interactivity performance,-69.23076923076924
12,uses-long-cache-ttl,0.6,0.2,9,3,15,network optimization,-66.66666666666666
13,render-blocking-resources,0.5333333333333333,0.2,8,3,15,initial load performance,-62.5
14,modern-image-formats,0.4666666666666667,0.2,7,3,15,resource optimization,-57.14285714285714
8,legacy-javascript,0.8,0.4,12,6,15,resource optimization,-50.0
19,unsized-images,0.4,0.2,6,3,15,visual stability,-50.0
6,largest-contentful-paint-element,0.9333333333333333,0.4666666666666667,14,7,15,initial load performance,-50.0
10,unused-css-rules,0.7333333333333333,0.4,11,6,15,resource optimization,-45.454545454545446
2,unused-javascript,1.0,0.6,15,9,15,resource optimization,-40.0
23,cumulative-layout-shift,0.3333333333333333,0.2,5,3,15,visual stability,-39.99999999999999
4,speed-index,0.9333333333333333,0.6,14,9,15,initial load performance,-35.714285714285715
5,interactive,0.9333333333333333,0.6,14,9,15,interactivity performance,-35.714285714285715
0,first-contentful-paint,1.0,0.6666666666666666,15,10,15,initial load performance,-33.333333333333336
1,largest-contentful-paint,1.0,0.6666666666666666,15,10,15,initial load performance,-33.333333333333336
27,unminified-javascript,0.2,0.13333333333333333,3,2,15,resource optimization,-33.333333333333336
25,viewport,0.26666666666666666,0.2,4,3,15,visual stability,-24.999999999999993
3,uses-text-compression,0.9333333333333333,0.7333333333333333,14,11,15,network optimization,-21.428571428571434
36,duplicated-javascript,0.06666666666666667,0.06666666666666667,1,1,15,resource optimization,0.0
32,layout-shifts,0.13333333333333333,0.13333333333333333,2,2,15,visual stability,0.0
33,font-display,0.13333333333333333,0.13333333333333333,2,2,15,visual stability,0.0
37,redirects,0.06666666666666667,0.06666666666666667,1,1,15,network optimization,0.0
